"","date","L005_CHLOROPHYLL-A(LC)_ug/L","days"
"1",2010-10-21,10.3,21
"2",2010-11-02,40.2,33
"3",2010-12-20,10.2,81
"4",2011-01-03,6.6,95
"5",2011-02-14,20.8,137
"6",2011-03-09,24,160
"7",2011-04-19,9.7,201
"8",2011-05-24,2.58,236
"9",2011-06-07,21.2,250
"10",2011-07-12,2.61,285
"11",2011-08-02,2.86,306
"12",2011-09-19,23.1,354
"13",2011-10-10,19.9,375
"14",2011-11-15,14.9,411
"15",2011-12-05,16.9,431
"16",2012-01-23,7.13,480
"17",2012-02-07,12.9,495
"18",2012-03-19,23.1,536
"19",2012-04-02,18.4,550
"20",2012-05-21,21,599
"21",2012-06-11,35.5,620
"22",2012-07-16,7.58,655
"23",2012-08-13,3.75,683
"24",2012-09-18,29.6,719
"25",2012-10-09,35.5,740
"26",2012-11-27,18.8,789
"27",2012-12-11,9.69,803
"28",2013-01-08,8.4,831
"29",2013-02-11,18.2,865
"30",2013-03-27,15,909
"31",2013-04-08,21,921
"32",2013-05-14,35,957
"33",2013-06-03,142,977
"34",2013-07-17,38.4,1021
"35",2013-08-06,70.8,1041
"36",2013-09-17,44.3,1083
"37",2013-10-01,48.6,1097
"38",2013-11-12,56.5,1139
"39",2013-12-04,16.2,1161
"40",2014-01-14,29.8,1202
"41",2014-02-05,42.7,1224
"42",2014-03-11,16,1258
"43",2014-04-15,45.3,1293
"44",2014-05-14,113,1322
"45",2014-06-04,112,1343
"46",2014-07-15,34.4,1384
"47",2014-08-06,29.8,1406
"48",2014-09-02,71.2,1433
"49",2014-10-07,54.4,1468
"50",2014-11-04,46,1496
"51",2014-12-02,40.7,1524
"52",2015-01-06,11.9,1559
"53",2015-02-03,11.6,1587
"54",2015-03-03,29.1,1615
"55",2015-04-07,18.1,1650
"56",2015-05-12,16.9,1685
"57",2015-06-03,43.7,1707
"58",2015-07-08,21.7,1742
"59",2015-08-04,20.6,1769
"60",2015-09-01,40.4,1797
"61",2015-10-06,5.29,1832
"62",2015-11-04,47.1,1861
"63",2015-12-01,33.6,1888
"64",2016-01-11,53.4,1929
"65",2016-02-02,44.7,1951
"66",2016-03-01,24.9,1979
"67",2016-04-05,14.6,2014
"68",2016-05-03,7.94,2042
"69",2016-06-14,39.2,2084
"70",2016-07-11,62.3,2111
"71",2016-08-02,55.9,2133
"72",2016-09-06,55.4,2168
