"","date","L005_CHLOROPHYLL-A, CORRECTED_ug/L","days"
"1",1979-12-11,8.4,11
"2",1980-01-09,9.2,40
"3",1980-02-08,20.7,70
"4",1980-03-05,10.0666666666667,96
"5",1980-04-09,9.6,131
"6",1980-05-15,17.3,166
"7",1980-06-16,84,198
"8",1980-07-21,32,233
"9",1980-10-16,31.8,320
"10",1980-11-06,56.3,342
"11",1980-12-11,27.5,377
"12",1981-01-15,14.2,412
"13",1981-02-19,10,447
"14",1981-03-26,16,482
"15",1981-04-22,30,509
"16",1981-05-28,5.6,544
"17",1981-06-24,14.4,571
"18",1981-07-15,3,592
"19",1981-07-30,4.26666666666667,607
"20",1981-08-12,10.7,620
"21",1981-08-24,8,632
"22",1981-09-10,15.4,649
"23",1981-09-22,27.6,661
"24",1981-10-08,32.1,677
"25",1981-11-24,18.7,725
"26",1982-01-07,22.3,769
"27",1982-02-11,14.6666666666667,804
"28",1982-03-04,34.7,825
"29",1982-04-01,49.5,853
"30",1982-05-05,42.8,886
"31",1982-05-19,56.1,900
"32",1982-06-24,15,936
"33",1982-07-09,9.8,951
"34",1982-08-25,4.3,998
"35",1982-09-28,32.1,1032
"36",1983-05-26,20.4666666666667,1272
"37",1983-06-28,39.7,1305
"38",1983-07-19,26.7,1326
"39",1984-03-22,17.1,1574
"40",1984-04-18,12.3333333333333,1601
"41",1984-05-16,25.2,1628
"42",1984-06-21,40.8,1664
"43",1984-07-26,16.9,1699
"44",1984-08-22,13.7,1726
"45",1984-10-18,41.9666666666667,1783
"46",1984-11-29,36.1,1826
"47",1984-12-20,26.7333333333333,1847
"48",1985-01-15,26.7,1873
"49",1985-02-27,32.1,1916
"50",1985-04-04,19.2,1952
"51",1985-05-01,49.9,1978
"52",1985-06-06,16,2014
"53",1985-07-10,3.1,2048
"54",1985-08-08,6.4,2077
"55",1985-09-05,29.2,2105
"56",1985-10-17,45.8,2147
"57",1985-11-14,8.1,2176
"58",1985-12-11,21.4,2203
"59",1986-01-30,13.4,2253
"60",1986-02-20,17.1,2274
"61",1986-04-03,11.1,2316
"62",1986-05-01,28.2,2343
"63",1986-06-03,8.6,2376
"64",1986-07-02,8,2405
"65",1986-08-07,55,2441
"66",1986-08-12,28.4,2446
