"","date","L005_CHLOROPHYLL-A_ug/L","days"
"1",1974-10-01,38.9,1
"2",1974-10-19,48.3,19
"3",1974-11-06,37.6,37
"4",1974-11-24,24.3,55
"5",1974-12-12,26.1,73
"6",1974-12-30,19.4,91
"7",1975-01-17,31.4,109
"8",1975-02-04,29.4,127
"9",1975-02-22,28.9,145
"10",1975-03-12,32.8,163
"11",1975-03-30,31.2,181
"12",1975-04-17,30.4,199
"13",1975-05-05,11.9,217
"14",1975-05-23,14.9,235
"15",1975-06-05,21.1333333333333,248
"16",1975-06-10,4.4,253
"17",1975-06-28,19.7,271
"18",1975-07-10,10.2666666666667,283
"19",1975-07-16,7.6,289
"20",1975-08-03,11.2,307
"21",1975-08-21,14.7,325
"22",1975-09-08,6.8,343
"23",1975-09-26,9.5,361
"24",1975-10-02,9.6,367
"25",1975-10-05,15.6,370
"26",1975-10-23,39.9,388
"27",1975-11-10,84.8,406
"28",1975-11-17,39.6333333333333,413
"29",1975-12-12,28.9666666666667,438
"30",1975-12-16,38.4,442
"31",1976-01-19,34.08,476
"32",1976-01-21,24.9,478
"33",1976-02-26,41.6,514
"34",1976-03-01,43.8,518
"35",1976-03-15,33.2,532
"36",1976-04-20,49.7,568
"37",1976-05-08,19.5,586
"38",1976-05-11,32.0333333333333,589
"39",1976-05-26,21.5,604
"40",1976-06-13,35.6,622
"41",1976-07-01,6.7,640
"42",1976-07-14,5.8,653
"43",1976-08-06,5.5,676
"44",1976-08-24,30.2,694
"45",1976-08-31,27.9,701
"46",1976-09-11,24.1,712
"47",1976-09-29,8.3,730
"48",1976-10-17,33.2,748
"49",1976-11-04,83.2,766
"50",1976-11-22,58,784
"51",1976-12-09,11.2,801
"52",1976-12-15,4.06666666666667,807
"53",1977-07-14,10.45,1018
"54",1979-12-11,9.9,1898
"55",1980-01-09,9.6,1927
"56",1980-02-08,20.9,1957
"57",1980-03-05,15.9,1983
"58",1980-04-09,11.1,2018
"59",1980-05-15,19.9,2054
"60",1980-06-16,84,2086
"61",1980-07-21,33.8,2121
"62",1980-10-16,32.3,2208
"63",1980-11-06,60,2229
"64",1980-12-11,29.0333333333333,2264
"65",1981-01-15,17.9,2299
"66",1981-02-19,12.2,2334
"67",1981-03-26,14.5,2369
"68",1981-04-22,30.6,2396
"69",1981-05-28,7.6,2432
"70",1981-06-24,15.5,2459
"71",1981-07-15,3.6,2480
"72",1981-07-30,4.83333333333333,2495
"73",1981-08-12,12.5,2508
"74",1981-08-24,7.8,2520
"75",1981-09-10,16.2,2537
"76",1981-09-22,27.9666666666667,2549
"77",1981-10-08,33.9,2565
"78",1981-11-24,21.8666666666667,2612
"79",1982-01-07,20.2,2656
"80",1982-02-11,16.1666666666667,2691
"81",1982-03-04,33.6,2712
"82",1982-04-01,51.8,2740
"83",1982-05-05,52,2774
"84",1982-05-19,58,2788
"85",1982-06-24,16.2,2824
"86",1982-07-09,8.6,2839
"87",1982-08-25,5.4,2886
"88",1982-09-28,34.8,2920
"89",1982-11-23,36,2976
"90",1982-12-20,19.8,3003
"91",1983-01-25,20.6666666666667,3039
"92",1983-02-24,16.4,3069
"93",1983-03-23,13.8666666666667,3096
"94",1983-04-20,13.2,3124
"95",1983-05-26,23.5333333333333,3160
"96",1983-06-28,43.6,3193
"97",1983-07-19,33.6,3214
"98",1983-08-30,33.7,3256
"99",1983-09-30,32.3,3287
"100",1983-10-27,27,3314
"101",1983-12-21,22,3369
"102",1984-01-18,47.5,3397
"103",1984-02-15,18.9,3425
"104",1984-03-22,24.4,3461
"105",1984-04-18,12.6,3488
"106",1984-05-16,40.1,3516
"107",1984-06-21,48.3,3552
"108",1984-07-26,21.3,3587
"109",1984-08-22,15.4,3614
"110",1984-10-18,58.4,3671
"111",1984-11-29,41,3713
"112",1984-12-20,32.1333333333333,3734
"113",1985-01-15,30,3760
"114",1985-02-27,35.5,3803
"115",1985-04-04,22.8,3839
"116",1985-05-01,55.7,3866
"117",1985-06-06,19.3,3902
"118",1985-07-10,3.8,3936
"119",1985-08-08,7.7,3965
"120",1985-09-05,31.1,3993
"121",1985-10-17,49.4,4035
"122",1985-11-14,29.3,4063
"123",1985-12-11,24,4090
"124",1986-01-30,22.3,4140
"125",1986-02-20,19.8,4161
"126",1986-04-03,13.9,4203
"127",1986-05-01,32.5,4231
"128",1986-06-03,9.5,4264
"129",1986-07-02,7.6,4293
"130",1986-08-07,57.2,4329
"131",1986-08-12,29.7,4334
"132",1986-08-20,17.6,4342
"133",1986-09-25,77.7,4378
"134",1986-10-23,36.4,4406
"135",1986-12-10,29.3,4454
"136",1987-01-14,35.6,4489
"137",1987-02-12,22.6,4518
"138",1987-04-02,17.4,4567
"139",1987-05-01,16.8,4596
"140",1987-06-04,36.8,4630
"141",1987-06-24,39.7,4650
"142",1987-07-21,22.2,4677
"143",1987-07-23,17.7,4679
"144",1987-08-06,25,4693
"145",1987-08-18,16.1,4705
"146",1987-09-03,18,4721
"147",1987-09-14,9.8,4732
"148",1987-11-18,35.8,4797
"149",1987-12-14,28.9,4823
"150",1988-01-19,11.4,4859
"151",1988-02-17,15.7,4888
"152",1988-03-22,15.5,4922
"153",1988-04-20,10.2,4951
"154",1988-05-04,20,4965
"155",1988-05-18,31.5,4979
"156",1988-06-02,72.2,4994
"157",1988-06-15,58.4,5007
"158",1988-06-29,40.5,5021
"159",1988-07-13,33.8,5035
"160",1988-07-25,53.7,5047
"161",1988-08-10,33.1,5063
"162",1988-08-24,38.1,5077
"163",1988-09-08,28.5,5092
"164",1988-09-21,47.1,5105
"165",1988-10-05,31.6,5119
"166",1988-10-19,33.1,5133
"167",1988-11-02,54.1,5147
"168",1988-11-16,61.9,5161
"169",1988-12-12,71.1,5187
"170",1989-01-11,59.1,5217
"171",1989-02-08,36.4,5245
"172",1989-03-15,42.7,5280
"173",1989-04-05,63.8,5301
"174",1989-05-17,20.4,5343
"175",1989-06-13,13,5370
"176",1989-06-27,10.4,5384
"177",1989-07-11,9,5398
"178",1989-07-26,25,5413
"179",1989-08-08,18.5,5426
"180",1989-08-22,19.6,5440
"181",1989-09-06,19.7,5455
"182",1989-09-20,14,5469
"183",1989-10-05,15.5,5484
"184",1989-10-18,41.6,5497
"185",1989-11-01,72.5,5511
"186",1990-01-10,23.2,5581
"187",1990-02-07,32.6,5609
"188",1990-04-05,21.8,5666
"189",1990-04-18,19.1,5679
"190",1990-05-02,49.3,5693
"191",1990-05-16,6.2,5707
"192",1990-05-31,8.4,5722
"193",1990-06-12,6,5734
"194",1990-06-26,4.7,5748
"195",1990-07-10,5.1,5762
"196",1990-07-24,15,5776
"197",1990-08-07,36.1,5790
"198",1990-08-20,21.1,5803
"199",1990-09-18,16.1,5832
"200",1990-10-02,21.8,5846
"201",1990-10-17,37.6,5861
"202",1990-10-31,32.9,5875
"203",1990-12-11,21.1,5916
"204",1991-01-07,36.3,5943
"205",1991-02-07,74.7,5974
"206",1991-03-06,82.4,6001
"207",1991-05-01,26.3,6057
"208",1991-05-13,17.8,6069
"209",1991-05-29,18.7,6085
"210",1991-06-12,66.7,6099
"211",1991-07-10,20.1,6127
"212",1991-07-23,16.8,6140
"213",1991-08-05,10,6153
"214",1991-08-20,20.1,6168
"215",1991-09-03,32.2,6182
"216",1991-09-16,26.2,6195
"217",1991-10-14,21.5,6223
"218",1991-10-28,35.4,6237
"219",1991-12-12,23.2,6282
"220",1992-01-22,17.5,6323
"221",1992-02-04,48.6,6336
"222",1992-03-09,37.4,6370
"223",1992-04-08,35.6,6400
"224",1992-05-05,30.1,6427
"225",1992-05-19,73.3,6441
"226",1992-06-02,68.3,6455
"227",1992-06-16,29,6469
"228",1992-07-01,25.6,6484
"229",1992-07-22,39.7,6505
"230",1992-08-03,16.5,6517
"231",1992-08-18,44.2,6532
"232",1992-08-26,34.7,6540
"233",1992-09-08,33.1,6553
"234",1992-09-30,45.8,6575
"235",1992-10-12,43.5,6587
"236",1992-11-23,58.6,6629
"237",1992-12-08,35,6644
"238",1993-01-06,19.4,6673
"239",1993-02-22,21.1,6720
"240",1993-03-09,31.7,6735
"241",1993-05-11,15,6798
"242",1993-05-27,45.6,6814
"243",1993-06-02,16.3333333333333,6820
"244",1993-06-09,23.5,6827
"245",1993-06-15,36.575,6833
"246",1993-07-01,27.9333333333333,6849
"247",1993-07-06,43.2,6854
"248",1993-07-07,32.7,6855
"249",1993-07-12,73.3,6860
"250",1993-07-20,77.7,6868
"251",1993-07-21,84.8666666666667,6869
"252",1993-07-27,34.6,6875
"253",1993-08-04,20.2,6883
"254",1993-08-10,27.4,6889
"255",1993-08-17,23.24,6896
"256",1993-08-24,12.75,6903
"257",1993-08-31,37.4,6910
"258",1993-09-07,48.6333333333333,6917
"259",1993-09-22,29.2666666666667,6932
"260",1993-10-06,31.8,6946
"261",1993-10-14,19.6428571428571,6954
"262",1993-11-16,33.1428571428571,6987
"263",1993-12-14,36.675,7015
"264",1993-12-28,28.275,7029
"265",1994-02-01,26.1,7064
"266",1994-02-03,23,7066
"267",1994-02-08,29.16,7071
"268",1994-02-24,34.6,7087
"269",1994-03-16,20,7107
"270",1994-04-05,39.75,7127
"271",1994-04-13,30.9,7135
