"","date","L006_AMMONIA-N_mg/L","days"
"1",1972-11-06,NA,6
"2",1972-12-12,NA,42
"3",1973-01-16,0.065,77
"4",1973-02-06,0.02,98
"5",1973-03-07,0.03,127
"6",1973-04-12,0.03,163
"7",1973-05-08,0.04,188
"8",1973-05-09,0.08,189
"9",1973-06-05,0.025,216
"10",1973-07-10,NA,251
"11",1973-08-10,NA,282
"12",1973-09-12,NA,315
"13",1973-09-14,0.23,317
"14",1973-09-28,0.16,331
"15",1973-10-10,NA,343
"16",1973-10-12,0.6,345
"17",1973-11-09,0.46,374
"18",1973-11-14,0,379
"19",1973-11-21,0.04,386
"20",1973-12-07,0.17,402
"21",1973-12-20,0.035,415
"22",1974-01-03,0.57,429
"23",1974-01-17,0.27,442
"24",1974-02-01,0.05,457
"25",1974-02-13,0.02,469
"26",1974-02-15,0.05,471
"27",1974-02-21,NA,477
"28",1974-03-01,0.6,485
"29",1974-03-07,0.02,491
"30",1974-03-15,0.51,499
"31",1974-03-20,0.06,504
"32",1974-04-04,0.03,519
"33",1974-04-19,0.04,534
"34",1974-05-09,0,554
"35",1974-06-04,NA,580
"36",1974-06-18,0.005,594
"37",1974-07-10,0.01,616
"38",1974-07-23,NA,629
"39",1974-08-08,NA,645
"40",1974-08-21,0.01,658
"41",1974-08-28,0.03,665
"42",1974-09-12,NA,680
"43",1974-09-25,NA,693
"44",1974-10-16,0.02,714
"45",1974-11-05,0.025,735
"46",1974-11-06,0.02,736
"47",1974-12-12,0,772
"48",1974-12-30,NA,790
"49",1975-01-17,0.04,808
"50",1975-01-20,0.01,811
"51",1975-02-04,0.06,826
"52",1975-02-22,0.09,844
"53",1975-02-24,0.025,845
"54",1975-03-12,0.03,861
"55",1975-03-30,0.02,879
"56",1975-04-02,0.045,882
"57",1975-04-17,0.08,897
"58",1975-05-05,0.04,915
"59",1975-05-07,NA,917
"60",1975-05-23,0.04,933
"61",1975-06-05,0.08,946
"62",1975-06-10,0.02,951
"63",1975-06-28,NA,969
"64",1975-07-10,NA,981
"65",1975-07-16,0.02,987
"66",1975-08-03,NA,1005
"67",1975-08-21,0.13,1023
"68",1975-08-28,0.08,1030
"69",1975-09-08,0.01,1041
"70",1975-09-26,0.05,1059
"71",1975-10-02,0.022,1065
"72",1975-10-05,0.04,1068
"73",1975-10-23,0.01,1086
"74",1975-11-10,NA,1105
"75",1975-11-17,0.04,1112
"76",1975-12-12,NA,1137
"77",1975-12-16,NA,1141
"78",1976-01-21,0.06,1177
"79",1976-02-26,0.06,1213
"80",1976-03-02,0.04,1218
"81",1976-03-15,0.05,1231
"82",1976-04-20,0.02,1267
"83",1976-05-08,0.09,1284
"84",1976-05-11,0.07,1287
"85",1976-05-26,0.16,1302
"86",1976-06-13,0.02,1320
"87",1976-07-01,0.09,1338
"88",1976-07-14,NA,1351
"89",1976-08-06,NA,1374
"90",1976-08-24,0.04,1392
"91",1976-08-31,0.02,1399
"92",1976-09-11,0.03,1410
"93",1976-09-29,0.06,1428
"94",1976-10-17,0.02,1446
"95",1976-11-04,0.03,1465
"96",1976-11-22,NA,1483
"97",1976-12-09,NA,1500
"98",1977-02-23,0.025,1576
"99",1977-03-15,0.02,1596
"100",1977-06-15,0.02,1687
"101",1977-07-14,0.02,1716
"102",1977-08-17,0.015,1750
"103",1977-09-13,0.03,1777
"104",1977-10-11,NA,1805
"105",1977-11-21,NA,1847
"106",1978-01-12,0,1899
"107",1978-02-08,0.005,1926
"108",1978-03-16,NA,1962
"109",1978-04-12,0.025,1989
"110",1978-05-22,NA,2028
"111",1978-06-12,0.01,2049
"112",1978-07-12,NA,2079
"113",1978-08-09,0.01,2107
"114",1978-09-06,NA,2135
"115",1978-10-11,NA,2170
"116",1978-11-07,0.02,2198
"117",1978-12-06,NA,2227
"118",1979-01-11,NA,2263
"119",1979-01-30,0.04,2282
"120",1979-03-06,0.02,2317
"121",1979-04-10,0.03,2352
"122",1979-05-08,0.02,2379
"123",1979-06-05,NA,2407
