"","date","L008_NITRATE+NITRITE-N_mg/L","days"
"1",1972-12-12,0.006,12
"2",1973-01-16,0.1605,47
"3",1973-02-05,0.282,67
"4",1973-03-06,0.164,96
"5",1973-04-11,0.123,132
"6",1973-05-08,0.1555,158
"7",1973-06-05,NA,186
"8",1973-07-10,NA,221
"9",1973-08-10,0.031,252
"10",1973-09-12,NA,285
"11",1973-09-14,NA,287
"12",1973-09-28,NA,301
"13",1973-10-10,NA,313
"14",1973-10-26,0.018,329
"15",1973-11-09,0.026,344
"16",1973-11-14,0.048,349
"17",1973-12-07,0.061,372
"18",1973-12-20,0.192,385
"19",1974-01-03,0.01,399
"20",1974-01-17,0.0146666666666667,412
"21",1974-02-01,NA,427
"22",1974-02-13,0.153,439
"23",1974-02-21,0.242,447
"24",1974-03-01,0.056,455
"25",1974-03-07,0.0445,461
"26",1974-03-20,0.0875,474
"27",1974-04-04,0.196,489
"28",1974-04-19,0.1945,504
"29",1974-05-09,0.058,524
"30",1974-06-04,0.0195,550
"31",1974-06-18,0.0035,564
"32",1974-07-10,0.0025,586
"33",1974-07-19,0.026,595
"34",1974-07-23,NA,599
"35",1974-08-08,0.018,615
"36",1974-08-21,0.0175,628
"37",1974-09-12,0.116,650
"38",1974-09-25,NA,663
"39",1974-10-16,0.1375,684
"40",1974-11-05,0.102,705
"41",1974-11-06,0.0145,706
"42",1974-12-06,0.017,736
"43",1974-12-12,0.46,742
"44",1974-12-30,0.308,760
"45",1975-01-14,0.009,775
"46",1975-01-17,0.38,778
"47",1975-01-20,0.357,781
"48",1975-02-04,0.162,796
"49",1975-02-22,0.25,814
"50",1975-03-12,0.251,831
"51",1975-03-30,0.079,849
"52",1975-04-17,0.218,867
"53",1975-05-05,0.087,885
"54",1975-05-23,0.023,903
"55",1975-06-10,NA,921
"56",1975-06-28,NA,939
"57",1975-07-16,0.078,957
"58",1975-08-03,0.05,975
"59",1975-08-21,0.013,993
"60",1975-09-08,0.019,1011
"61",1975-09-26,0.155,1029
"62",1975-10-05,0.008,1038
"63",1975-10-23,NA,1056
"64",1975-11-10,NA,1075
"65",1975-12-16,0.091,1111
"66",1976-01-21,0.384,1147
"67",1976-03-15,0.269,1201
"68",1976-04-20,0.226,1237
"69",1976-05-08,0.292,1254
"70",1976-05-26,0.267,1272
"71",1976-06-13,0.097,1290
"72",1976-07-01,0.017,1308
"73",1976-08-06,NA,1344
"74",1976-08-24,0.01,1362
"75",1976-09-11,0.008,1380
"76",1976-09-29,0.005,1398
"77",1976-10-17,0.037,1416
"78",1976-11-04,0.195,1435
"79",1976-11-22,0.257,1453
"80",1976-12-09,0.248,1470
"81",1977-02-23,0.554,1546
"82",1977-03-15,0.1945,1566
"83",1977-06-15,NA,1657
"84",1977-07-14,0.00175,1686
"85",1977-08-17,0.05975,1720
"86",1977-09-13,NA,1747
