"","date","LZ40_AMMONIA-N_mg/L","days"
"1",1978-06-12,NA,12
"2",1978-07-12,0.02,42
"3",1978-08-09,0.02,70
"4",1978-09-06,NA,98
"5",1978-10-11,NA,133
"6",1978-11-07,NA,160
"7",1978-12-06,NA,189
"8",1979-01-11,0.01,225
"9",1979-03-06,0.01,279
"10",1979-04-10,0.02,314
"11",1979-05-09,NA,343
"12",1979-06-05,0.02,370
"13",1979-07-03,NA,398
"14",1979-08-07,0.01,433
"15",1979-09-11,0.01,468
"16",1993-05-11,0.02,5459
"17",1993-05-12,0.03,5460
"18",1993-05-13,0.04,5461
"19",1993-05-14,0.055,5462
"20",1993-05-15,0.025,5463
"21",1993-05-16,0.03,5464
"22",1993-05-17,0.03,5465
"23",1993-05-18,0.04,5466
"24",1993-05-19,0.00428571428571429,5467
"25",1993-05-20,0.0125,5468
"26",1993-05-21,0.015,5469
"27",1993-05-22,0.005,5470
"28",1993-05-23,0.0175,5471
"29",1993-05-24,0.000416666666666667,5472
"30",1993-05-25,0.00916666666666667,5473
"31",1993-05-26,0.00826086956521739,5474
"32",1993-05-27,0.0144444444444444,5475
"33",1993-05-28,0.0141666666666667,5476
"34",1993-05-29,NA,5477
"35",1993-05-30,0.00416666666666667,5478
"36",1993-05-31,0.0233333333333333,5479
"37",1993-06-01,0.0575,5480
"38",1993-06-02,0.03875,5481
"39",1993-06-03,NA,5482
"40",1993-06-04,NA,5483
"41",1993-06-05,NA,5484
"42",1993-06-06,0.005,5485
"43",1993-06-07,0.005,5486
"44",1993-06-08,0.0075,5487
"45",1993-06-09,0.0133333333333333,5488
"46",1993-06-10,NA,5489
"47",1993-06-11,0.02,5490
"48",1993-06-12,0.008,5491
"49",1993-06-13,0.004,5492
"50",1993-06-14,0.009,5493
"51",1993-06-15,0.006,5494
"52",1993-06-16,0.0116666666666667,5495
"53",1993-06-17,0.012,5496
"54",1993-06-18,0.014,5497
"55",1993-06-19,NA,5498
"56",1993-06-20,NA,5499
"57",1993-06-21,NA,5500
"58",1993-06-22,NA,5501
"59",1993-06-23,4.726443845679e-19,5502
"60",1993-06-24,NA,5503
"61",1993-06-25,0.015,5504
"62",1993-06-26,0.035,5505
"63",1993-06-27,0.015,5506
"64",1993-06-28,0.0390909090909091,5507
"65",1993-06-29,NA,5508
"66",1993-06-30,0.046,5509
"67",1993-07-01,NA,5510
"68",1993-07-02,0.012,5511
"69",1993-07-03,0.012,5512
"70",1993-07-04,0,5513
"71",1993-07-05,NA,5514
"72",1993-07-06,NA,5515
"73",1993-07-07,0.00956521739130435,5516
"74",1993-07-08,0.035,5517
"75",1993-07-09,0.0375,5518
"76",1993-07-10,0.025,5519
"77",1993-07-11,0.0325,5520
"78",1993-07-12,0.015,5521
"79",1993-07-13,0.088,5522
"80",1993-07-14,0.106,5523
"81",1993-07-15,0.06,5524
"82",1993-07-16,0.04,5525
"83",1993-07-17,0.046,5526
"84",1993-07-18,0.034,5527
"85",1993-07-19,0.0366666666666667,5528
"86",1993-07-20,0.0453846153846154,5529
"87",1993-07-21,0.0175,5530
"88",1993-07-22,0,5531
"89",1993-07-23,0.01,5532
"90",1993-07-24,NA,5533
