"","date","LZ40_NITRATE+NITRITE-N_mg/L","days"
"1",1978-06-12,NA,12
"2",1978-07-12,0.109,42
"3",1978-08-09,0.016,70
"4",1978-09-06,NA,98
"5",1978-10-11,0.055,133
"6",1978-11-07,0.113,160
"7",1978-12-06,0.211,189
"8",1979-01-11,0.314,225
"9",1979-03-06,0.348,279
"10",1979-04-10,0.341,314
"11",1979-05-09,0.38,343
"12",1979-06-05,0.107,370
"13",1979-07-03,NA,398
"14",1979-08-07,0.013,433
"15",1979-09-11,0.017,468
"16",1993-05-11,0.542,5459
"17",1993-05-12,0.557,5460
"18",1993-05-13,0.5385,5461
"19",1993-05-14,0.387,5462
"20",1993-05-15,0.314,5463
"21",1993-05-16,0.2875,5464
"22",1993-05-17,0.3115,5465
"23",1993-05-18,0.404,5466
"24",1993-05-19,0.309428571428571,5467
"25",1993-05-20,0.30025,5468
"26",1993-05-21,0.259,5469
"27",1993-05-22,0.25025,5470
"28",1993-05-23,0.28975,5471
"29",1993-05-24,0.339291666666667,5472
"30",1993-05-25,0.413208333333333,5473
"31",1993-05-26,0.452521739130435,5474
"32",1993-05-27,0.4085,5475
"33",1993-05-28,0.483833333333333,5476
"34",1993-05-29,0.48725,5477
"35",1993-05-30,0.492666666666667,5478
"36",1993-05-31,0.481916666666667,5479
"37",1993-06-01,0.48275,5480
"38",1993-06-02,0.479875,5481
"39",1993-06-03,0.393111111111111,5482
"40",1993-06-04,0.44075,5483
"41",1993-06-05,0.38925,5484
"42",1993-06-06,0.37425,5485
"43",1993-06-07,0.347,5486
"44",1993-06-08,0.30525,5487
"45",1993-06-09,0.37,5488
"46",1993-06-10,0.237333333333333,5489
"47",1993-06-11,0.311,5490
"48",1993-06-12,0.309,5491
"49",1993-06-13,0.3184,5492
"50",1993-06-14,0.3158,5493
"51",1993-06-15,0.3209,5494
"52",1993-06-16,0.327166666666667,5495
"53",1993-06-17,0.3494,5496
"54",1993-06-18,0.313,5497
"55",1993-06-19,0.29,5498
"56",1993-06-20,0.2472,5499
"57",1993-06-21,0.1844,5500
"58",1993-06-22,0.277,5501
"59",1993-06-23,0.171818181818182,5502
"60",1993-06-24,0.33275,5503
"61",1993-06-25,0.1835,5504
"62",1993-06-26,0.15375,5505
"63",1993-06-27,0.15475,5506
"64",1993-06-28,0.147727272727273,5507
"65",1993-06-29,0.14,5508
"66",1993-06-30,0.2042,5509
"67",1993-07-01,0.256,5510
"68",1993-07-02,0.232,5511
"69",1993-07-03,0.199,5512
"70",1993-07-04,0.1534,5513
"71",1993-07-05,0.0854,5514
"72",1993-07-06,0.0802,5515
"73",1993-07-07,0.142391304347826,5516
"74",1993-07-08,0.09075,5517
"75",1993-07-09,0.107,5518
"76",1993-07-10,0.08425,5519
"77",1993-07-11,0.064375,5520
"78",1993-07-12,0.0158333333333333,5521
"79",1993-07-13,0.0082,5522
"80",1993-07-14,0.0198,5523
"81",1993-07-15,0.0258,5524
"82",1993-07-16,0.0288,5525
"83",1993-07-17,0.025,5526
"84",1993-07-18,0.023,5527
"85",1993-07-19,0.0239333333333333,5528
"86",1993-07-20,0.0334615384615385,5529
"87",1993-07-21,0.03425,5530
"88",1993-07-22,0.01775,5531
"89",1993-07-23,0.03825,5532
"90",1993-07-24,0.014,5533
"91",1993-07-25,0.01925,5534
"92",1993-07-26,0.0243333333333333,5535
"93",1993-07-27,0.0142,5536
"94",1993-07-28,0.03,5537
"95",1993-07-29,0.0132,5538
"96",1993-07-30,0.0084,5539
"97",1993-07-31,0.017,5540
"98",1993-08-01,0.0166,5541
"99",1993-08-02,0.0142,5542
"100",1993-08-03,0.00611111111111111,5543
"101",1993-08-04,4e-04,5544
"102",1993-08-05,NA,5545
"103",1993-08-06,0.0166666666666667,5546
"104",1993-08-07,0.0024,5547
"105",1993-08-08,0.0064,5548
"106",1993-08-09,0.0288,5549
"107",1993-08-10,0.0338,5550
"108",1993-08-11,0.0181,5551
"109",1993-08-12,0.0145,5552
