"","date","S65E_AMMONIA-N_mg/L","days"
"1",1973-04-16,0.04,16
"2",1973-04-23,0.09,23
"3",1973-04-30,0.08,29
"4",1973-05-07,0.14,36
"5",1973-05-14,0.01,43
"6",1973-05-21,NA,50
"7",1973-05-29,0.05,58
"8",1973-06-04,0.07,64
"9",1973-06-11,0.11,71
"10",1973-06-13,0.0366666666666667,73
"11",1973-06-18,0.02,78
"12",1973-06-25,0.03,85
"13",1973-07-02,0.11,92
"14",1973-07-09,0.12,99
"15",1973-07-16,0.213333333333333,106
"16",1973-07-23,0.26,113
"17",1973-07-30,0.26,120
"18",1973-08-06,0.17,127
"19",1973-08-13,NA,134
"20",1973-08-20,0.15,141
"21",1973-08-27,0.07,148
"22",1973-08-29,0.15,150
"23",1973-09-04,0.16,156
"24",1973-09-10,0.17,162
"25",1973-09-17,0.12,169
"26",1973-09-24,0.15,176
"27",1973-10-01,0.21,183
"28",1973-10-02,0.175,184
"29",1973-10-08,0.09,190
"30",1973-10-15,0.15,197
"31",1973-10-23,0.22,205
"32",1973-10-29,NA,212
"33",1973-11-07,0.005,221
"34",1973-11-12,0.12,226
"35",1973-11-13,0.11,227
"36",1973-11-26,0.04,240
"37",1973-12-03,NA,247
"38",1973-12-05,0.015,249
"39",1973-12-10,0.14,254
"40",1973-12-11,0.07,255
"41",1973-12-17,0.1,261
"42",1974-01-02,0.1,277
"43",1974-01-08,0.01,282
"44",1974-01-14,0.11,288
"45",1974-01-28,0.07,302
"46",1974-02-11,0.06,316
"47",1974-02-12,0.055,317
"48",1974-02-25,0.09,330
"49",1974-03-05,0.05,338
"50",1974-03-11,0.01,344
"51",1974-03-25,0.03,358
"52",1974-04-02,0.02,366
"53",1974-04-08,0.12,372
"54",1974-04-22,0.3,386
"55",1974-05-07,0.05,401
"56",1974-05-13,NA,407
"57",1974-05-28,0.09,422
"58",1974-06-10,0.04,435
"59",1974-06-11,0.025,436
"60",1974-07-08,0.03,463
"61",1974-07-09,0.05,464
"62",1974-07-22,0.04,477
"63",1974-08-05,0.06,491
"64",1974-08-13,0.09,499
"65",1974-08-19,0.09,505
"66",1974-09-03,0.08,520
"67",1974-09-10,0.115,527
"68",1974-09-16,0.04,533
"69",1974-09-30,0.04,547
"70",1974-10-08,0.045,555
"71",1974-10-14,0.19,561
"72",1974-10-28,NA,576
"73",1974-11-05,0.025,584
"74",1974-11-12,0.07,591
"75",1974-12-10,0.065,619
"76",1975-01-07,0.065,647
"77",1975-02-04,0.035,675
"78",1975-03-05,0.06,703
"79",1975-04-08,0.065,737
"80",1975-05-06,0.01,765
"81",1975-06-03,NA,793
"82",1975-07-15,0.24,835
"83",1975-08-12,0.055,863
"84",1975-09-12,0.145,894
"85",1975-10-27,0.03,940
"86",1975-10-28,0.02,941
"87",1975-11-18,0.075,962
"88",1976-02-12,0.04,1048
"89",1976-05-11,0.08,1136
"90",1976-06-22,0.18,1178
"91",1976-06-25,0.26,1181
"92",1976-07-20,0.25,1206
"93",1976-08-24,0.005,1241
"94",1976-09-21,0.095,1269
"95",1976-10-19,0.17,1297
"96",1976-12-06,0.07,1346
"97",1977-01-25,0.03,1396
"98",1977-03-21,0.07,1451
"99",1977-05-23,0.025,1513
"100",1977-07-25,0,1576
"101",1977-09-20,0.08,1633
"102",1977-12-01,0.09,1706
"103",1978-01-24,0.09,1760
"104",1978-03-21,0.07,1816
"105",1978-05-30,0.025,1885
"106",1978-06-21,0.15,1907
"107",1978-07-25,0.125,1941
"108",1978-08-22,0.025,1969
"109",1978-09-18,0.1,1996
"110",1978-10-09,0.17,2017
"111",1978-10-17,0.225,2025
"112",1978-10-23,0.08,2031
"113",1978-11-14,0.085,2054
"114",1978-11-20,0.02,2060
"115",1978-12-04,0.05,2074
"116",1978-12-12,0.02,2082
"117",1978-12-19,0.04,2089
"118",1979-01-08,0.07,2109
"119",1979-01-22,0.02,2123
"120",1979-01-23,0.03,2124
"121",1979-02-05,0.01,2137
"122",1979-02-20,0.00666666666666667,2152
"123",1979-03-05,0.035,2165
"124",1979-03-19,0.05,2179
"125",1979-04-02,0.17,2193
"126",1979-04-16,0.02,2207
"127",1979-04-24,0.15,2215
"128",1979-04-30,0.0533333333333333,2220
"129",1979-05-14,0.01,2234
"130",1979-05-22,0.015,2242
"131",1979-05-29,NA,2249
"132",1979-06-11,0.09,2262
"133",1979-06-18,0.13,2269
"134",1979-06-25,0.05,2276
"135",1979-07-09,NA,2290
"136",1979-07-17,0.19,2298
"137",1979-07-23,0.15,2304
"138",1979-08-06,0.04,2318
"139",1979-08-20,0.25,2332
"140",1979-08-21,0.165,2333
"141",1979-09-05,0.16,2348
"142",1979-09-18,0.0866666666666667,2361
"143",1979-10-01,0.09,2374
"144",1979-10-02,0.03,2375
"145",1979-10-15,0.08,2388
"146",1979-10-29,0.19,2403
"147",1979-11-13,0.05,2418
"148",1979-12-11,0.1,2446
"149",1980-01-08,0.11,2474
"150",1980-01-22,0.04,2488
"151",1980-02-19,0.07,2516
"152",1980-03-04,0.05,2530
"153",1980-03-18,0.04,2544
"154",1980-04-02,0.14,2559
"155",1980-04-16,0.11,2573
"156",1980-04-30,0.11,2586
"157",1980-05-12,NA,2598
"158",1980-05-13,0.1,2599
"159",1980-05-28,NA,2614
"160",1980-06-09,NA,2626
"161",1980-06-25,NA,2642
"162",1980-07-07,0.02,2654
"163",1980-07-08,0.03,2655
"164",1980-07-24,0.02,2671
"165",1980-08-04,0.045,2682
"166",1980-08-20,0.01,2698
"167",1980-09-03,0.31,2712
"168",1980-09-17,0.34,2726
"169",1980-09-30,0.11,2739
"170",1980-10-01,0.03,2740
"171",1980-10-14,0.02,2753
"172",1980-10-28,0.32,2768
"173",1980-10-29,0.04,2769
"174",1980-11-12,0.1,2783
"175",1980-11-25,0.06,2796
"176",1980-12-02,0.0566666666666667,2803
"177",1980-12-23,0.02,2824
"178",1980-12-31,0.02,2832
"179",1981-01-14,NA,2846
"180",1981-01-20,NA,2852
"181",1981-01-27,0.01,2859
"182",1981-02-11,0.11,2874
"183",1981-02-17,0.08,2880
"184",1981-02-24,0.02,2887
"185",1981-03-11,0.04,2902
"186",1981-03-16,0.03,2907
"187",1981-03-24,NA,2915
"188",1981-04-08,NA,2930
"189",1981-04-13,0.05,2935
"190",1981-04-21,NA,2943
"191",1981-05-06,0.05,2957
"192",1981-05-11,0.01,2962
"193",1981-05-19,0.03,2970
"194",1981-06-02,0.02,2984
"195",1981-06-08,0.02,2990
