"","date","S65E_CHLOROPHYLL-A(LC)_ug/L","days"
"1",2010-10-26,1.2,26
"2",2010-11-09,3.8,40
"3",2010-11-29,2.5,60
"4",2010-12-09,7.3,70
"5",2010-12-22,13.5,83
"6",2011-01-10,4.7,102
"7",2011-01-24,5.6,116
"8",2011-02-07,16.4,130
"9",2011-02-23,17.2,146
"10",2011-03-09,6.53333333333333,160
"11",2011-03-23,7.3,174
"12",2011-04-13,31.2,195
"13",2011-04-27,17.2,209
"14",2011-05-11,15.3,223
"15",2011-05-25,12.1,237
"16",2011-06-08,12.2,251
"17",2011-06-20,14.5,263
"18",2011-07-06,18,279
"19",2011-07-20,8.84,293
"20",2011-08-03,112,307
"21",2011-08-17,3.41,321
"22",2011-08-31,1.2,335
"23",2011-09-14,10.3866666666667,349
"24",2011-09-28,7.62,363
"25",2011-10-12,6.32,377
"26",2011-10-26,3.96,391
"27",2011-11-07,0.734,403
"28",2011-11-22,2.15,418
"29",2011-12-07,4.92,433
"30",2011-12-21,3.25,447
"31",2012-01-04,2,461
"32",2012-01-18,2.05,475
"33",2012-02-01,3.95,489
"34",2012-02-15,5.95,503
"35",2012-02-29,3.61,517
"36",2012-03-14,8.15,531
"37",2012-03-28,2.66,545
"38",2012-04-11,3.51,559
"39",2012-04-25,9.15,573
"40",2012-05-09,7.44,587
"41",2012-05-23,18.8,601
"42",2012-06-06,19.8,615
"43",2012-06-20,14.6,629
"44",2012-07-11,4.44,650
"45",2012-07-25,0.916,664
"46",2012-08-08,1.24,678
"47",2012-08-22,5.08,692
"48",2012-09-05,9.28,706
"49",2012-09-19,5.43,720
"50",2012-10-03,2.4,734
"51",2012-10-17,2.32,748
"52",2012-10-31,1.95,762
"53",2012-11-14,3.16,776
"54",2012-11-28,2.06,790
"55",2012-12-05,2.36,797
"56",2012-12-19,5.75,811
"57",2013-01-02,2.65,825
"58",2013-01-16,2.3,839
"59",2013-01-30,0.795,853
"60",2013-02-13,13.1,867
"61",2013-02-27,25.9,881
"62",2013-03-13,5.85,895
"63",2013-03-27,16.3,909
"64",2013-04-10,5.37,923
"65",2013-04-24,21.2,937
"66",2013-05-08,9.47,951
"67",2013-05-22,13.6,965
"68",2013-06-05,17.9,979
"69",2013-06-19,9.18,993
"70",2013-07-02,10.5,1006
"71",2013-07-17,3.34,1021
"72",2013-07-31,2.76,1035
"73",2013-08-14,4.45,1049
"74",2013-08-28,6.72,1063
"75",2013-09-11,5.31,1077
"76",2013-09-25,2.83,1091
"77",2013-10-09,3.65,1105
"78",2013-10-23,2.01,1119
"79",2013-11-06,0.86,1133
"80",2013-11-20,8.06,1147
"81",2013-12-04,2.36,1161
"82",2013-12-18,5.52,1175
"83",2013-12-30,6.45,1187
"84",2014-01-15,9.44,1203
"85",2014-01-29,5.97,1217
"86",2014-02-12,15.6,1231
"87",2014-02-26,13.6,1245
"88",2014-03-12,6.6,1259
"89",2014-03-26,10.3,1273
"90",2014-04-09,22.2,1287
"91",2014-04-23,18.7,1301
"92",2014-05-07,9.69,1315
"93",2014-05-21,14.5,1329
"94",2014-06-04,30.6,1343
"95",2014-06-18,16.6,1357
"96",2014-07-01,4.81,1370
"97",2014-07-16,9.8,1385
"98",2014-07-30,5.59,1399
"99",2014-08-13,6.92,1413
"100",2014-08-27,3.35,1427
"101",2014-09-10,1.21,1441
"102",2014-09-24,2.12,1455
"103",2014-10-08,2.91,1469
"104",2014-10-22,1.97,1483
"105",2014-11-05,1.59,1497
"106",2014-11-19,1.79,1511
"107",2014-12-03,7.88,1525
"108",2014-12-17,6.87,1539
"109",2014-12-30,6.9,1552
"110",2015-01-14,2.49,1567
"111",2015-01-28,3.43,1581
"112",2015-02-11,2.99,1595
"113",2015-02-25,1.74,1609
"114",2015-03-11,1.47,1623
"115",2015-03-25,2.39,1637
"116",2015-04-08,3.4,1651
"117",2015-04-22,11,1665
"118",2015-05-06,10.2,1679
"119",2015-05-20,5.6,1693
"120",2015-06-03,2.71,1707
"121",2015-06-17,9.19,1721
