"","date","S65E_CHLOROPHYLL-A, CORRECTED_ug/L","days"
"1",1996-01-09,5.2,9
"2",1996-01-23,16.7,23
"3",1996-02-06,17.5,37
"4",1996-02-20,47.95,51
"5",1996-03-05,12.3,65
"6",1996-03-19,3.55,79
"7",1996-04-02,17.5,93
"8",1996-04-16,8.15,106
"9",1996-04-30,4.78,120
"10",1996-05-14,2.65,134
"11",1996-05-28,11.35,148
"12",1996-06-11,8.197665,162
"13",1996-06-25,7.2,176
"14",1996-07-09,8,190
"15",1996-07-23,10.95,204
"16",1996-08-06,NA,218
"17",1996-08-20,NA,232
"18",1996-09-03,2.7,246
"19",1996-09-17,0,260
"20",1996-10-01,NA,274
"21",1996-10-15,0.35,288
"22",1996-10-29,0.7,303
"23",1996-11-12,0.966666666666667,317
"24",1996-11-26,0.7,331
"25",1996-12-10,0.35,345
"26",1996-12-26,0.666666666666667,361
"27",1997-01-07,4.95,373
"28",1997-01-21,0.533333333333333,387
"29",1997-02-05,8.5,402
"30",1997-02-18,4.3,415
"31",1997-03-04,3.45,429
"32",1997-03-18,2.4,443
"33",1997-04-01,4.3,457
"34",1997-04-15,4.7,470
"35",1997-04-29,7.8,484
"36",1997-05-13,13,498
"37",1997-05-27,11.85,512
"38",1997-06-10,18,526
"39",1997-06-24,6,540
"40",1997-07-08,11.2,554
"41",1997-07-22,22.6,568
"42",1997-08-05,23.1,582
"43",1997-08-19,10.9,596
"44",1997-09-02,6.7,610
"45",1997-09-16,1.9,624
"46",1997-09-30,4,638
"47",1997-10-14,NA,652
"48",1997-10-28,1.6,667
"49",1997-11-12,NA,682
"50",1997-11-25,1.6,695
"51",1997-12-09,2.9,709
"52",1997-12-23,14.5,723
"53",1998-01-20,9.8,751
"54",1998-02-03,5.6,765
"55",1998-02-17,7.6,779
"56",1998-03-03,10.5,793
"57",1998-03-17,12,807
"58",1998-03-31,6.7,821
"59",1998-04-14,4.9,834
"60",1998-04-28,NA,848
"61",1998-05-12,5.3,862
"62",1998-05-26,2.3,876
"63",1998-06-09,2.7,890
"64",1998-06-23,18.9,904
"65",1998-07-07,19.3,918
"66",1998-07-21,4.4,932
"67",1998-08-04,5.8,946
"68",1998-08-18,4.8,960
"69",1998-09-01,9.6,974
"70",1998-09-29,2.4,1002
"71",1998-10-13,20.3,1016
"72",1998-10-27,1.5,1031
"73",1998-11-09,NA,1044
"74",1998-11-24,3.7,1059
"75",1998-12-08,1.3,1073
"76",1998-12-22,NA,1087
"77",1999-01-05,NA,1101
"78",1999-01-19,4.3,1115
"79",1999-02-02,1.8,1129
"80",1999-02-16,NA,1143
"81",1999-03-02,1.55,1157
"82",1999-03-16,NA,1171
"83",1999-03-30,2.7,1185
"84",1999-04-13,13.1,1198
"85",1999-04-27,14.5,1212
"86",1999-05-11,14.9,1226
"87",1999-05-25,3.2,1240
"88",1999-06-08,6.3,1254
"89",1999-06-22,21.3,1268
"90",1999-07-06,3.8,1282
"91",1999-07-20,3.45,1296
"92",1999-08-03,6.35,1310
"93",1999-08-17,16,1324
"94",1999-08-31,7.6,1338
"95",1999-09-16,3.23333333333333,1354
"96",1999-09-28,0.7,1366
"97",1999-10-12,3.1,1380
"98",1999-10-26,12.8,1394
"99",1999-11-09,4.3,1409
"100",1999-11-23,17.1,1423
"101",1999-12-07,0.55,1437
